Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
FPT,HOSE,08/03/2021,,44891,45187,44537,44773,1656600,125690340000
FPT,HOSE,09/03/2021,,44301,44714,44005,44301,2182400,163673020000
FPT,HOSE,10/03/2021,,44832,45777,44301,45068,2602400,198900880000.0010
FPT,HOSE,11/03/2021,,45187,45541,44950,45305,1477800,113277030000
FPT,HOSE,12/03/2021,,45482,45541,45068,45187,2062800,158247950000
FPT,HOSE,15/03/2021,,45246,45777,44950,45187,1760900,135307480000
FPT,HOSE,16/03/2021,,45482,48140,45246,47845,5111000,404798630000.0040
FPT,HOSE,17/03/2021,,48140,48140,47254,47727,1603200,129399420000
FPT,HOSE,18/03/2021,,47845,47845,47254,47845,1807500,145976760000.0010
FPT,HOSE,19/03/2021,,47254,47549,46900,47136,2247800,179559470000.0020
FPT,HOSE,22/03/2021,,46959,47018,46250,46486,2084800,164370980000.0010
FPT,HOSE,23/03/2021,,46368,47254,46250,46545,2201700,173901430000
FPT,HOSE,24/03/2021,,46014,46604,45187,45482,2480100,192902460000.0010
FPT,HOSE,25/03/2021,,45777,45777,45187,45246,2305400,177410020000.0010
FPT,HOSE,26/03/2021,,45009,45364,44005,44950,2672600,202165800000.0010
FPT,HOSE,29/03/2021,,45187,46132,44950,45836,1997700,153318739999.9990
FPT,HOSE,30/03/2021,,46014,46073,45482,45541,1512500,117032320000
FPT,HOSE,31/03/2021,,45541,46132,45246,45895,1373400,106328170000
FPT,HOSE,01/04/2021,,46014,47077,46014,47077,2500900,196983750000.0010
FPT,HOSE,02/04/2021,,47490,47549,47136,47136,1950200,156307890000
FPT,HOSE,05/04/2021,,47490,47549,46604,47018,1487000,118649890000
FPT,HOSE,06/04/2021,,46722,47254,46722,46900,1505800,119718389999.9990
FPT,HOSE,07/04/2021,,46781,47077,46722,47018,1503800,119317470000
FPT,HOSE,08/04/2021,,47372,47608,46959,47018,1609800,128742000000
FPT,HOSE,09/04/2021,,47195,49026,47195,48494,3970400,324280140000.0010
FPT,HOSE,12/04/2021,,48672,48672,48140,48494,2022500,165647270000
FPT,HOSE,13/04/2021,,48435,48553,47549,47667,2038100,166084029999.9990
FPT,HOSE,14/04/2021,,47254,47845,46959,47845,2530600,203016419999.9990
FPT,HOSE,15/04/2021,,47845,48081,47136,47254,2096200,168481000000
FPT,HOSE,16/04/2021,,47845,47963,46545,47077,2194600,174885160000
FPT,HOSE,19/04/2021,,47254,48140,46959,48140,2380800,191996000000
FPT,HOSE,20/04/2021,,48317,50148,48199,48967,4742800,395627680000.0060
FPT,HOSE,22/04/2021,,48435,49558,47254,47254,2271200,187097110000.0010
FPT,HOSE,23/04/2021,,47254,49026,47077,49026,3166400,256833700000.0010
FPT,HOSE,26/04/2021,,48731,48908,47549,47845,2551300,207956110000
FPT,HOSE,27/04/2021,,47490,48081,47313,47667,1287100,103896710000
FPT,HOSE,28/04/2021,,47313,48022,47313,47727,1366700,110472460000
FPT,HOSE,29/04/2021,,47727,48317,47727,47786,2095500,169999550000
FPT,HOSE,04/05/2021,,47254,49321,47254,48967,2362100,192827699999.9990
FPT,HOSE,05/05/2021,,49912,49912,48849,48967,2321300,194340579999.9980
FPT,HOSE,06/05/2021,,49026,49321,48553,48849,1969000,163166909999.9990
FPT,HOSE,07/05/2021,,48849,49617,48613,49026,2705900,224717940000
FPT,HOSE,10/05/2021,,48849,50798,49026,50680,4504300,382108700000.0030
FPT,HOSE,11/05/2021,,50798,51152,50325,50325,2078700,179203849999.9990
FPT,HOSE,12/05/2021,,50207,50444,49794,50444,1844500,156550370000.0010
FPT,HOSE,13/05/2021,,50207,50444,49617,49617,2558300,216917500000.0030
FPT,HOSE,14/05/2021,,49794,50916,49676,50089,1858700,158305610000
FPT,HOSE,17/05/2021,,50680,51152,50325,50621,1744500,149843810000.0010
FPT,HOSE,18/05/2021,,51034,51625,50916,51389,2133500,185553240000.0020
FPT,HOSE,19/05/2021,,51684,53810,51271,53633,2876300,254764720000.0020
FPT,HOSE,20/05/2021,,53633,56409,53397,56409,3523900,324421429999.9980
FPT,HOSE,21/05/2021,,55701,57059,54933,55405,3222700,305927820000
FPT,HOSE,24/05/2021,,55405,55464,54401,55228,2669500,247797359999.9990
FPT,HOSE,25/05/2021,,55228,56232,54815,55405,2156300,201917360000.0010
FPT,HOSE,26/05/2021,,55642,56409,55346,56291,1992800,188702300000.0010
FPT,HOSE,27/05/2021,,56291,56350,55228,55405,1745800,165315000000
FPT,HOSE,28/05/2021,,55523,56114,55346,55996,1874300,176777180000
FPT,HOSE,31/05/2021,,56409,57886,55937,57827,3237700,309699580000
FPT,HOSE,01/06/2021,,60323,60735,59706,59774,3495000,306310890000
FPT,HOSE,02/06/2021,,59774,60049,58333,58676,3053900,263630579999.9950
FPT,HOSE,03/06/2021,,58333,58608,57853,58470,3190800,270398420000.0020
FPT,HOSE,04/06/2021,,58333,58402,57510,58127,3820600,322171910000.0070
FPT,HOSE,07/06/2021,,58059,58127,55588,56755,3711200,308396740000.0050
FPT,HOSE,08/06/2021,,56274,56961,55314,55451,3486000,285115519999.9950
FPT,HOSE,09/06/2021,,55314,56343,54216,56068,3576100,287793839999.9960
