Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
MWG,HOSE,16/03/2021,,43393,43655,43034,43557,605800,80367519999.9999
MWG,HOSE,17/03/2021,,43655,43655,43426,43426,521000,69337840000.0001
MWG,HOSE,18/03/2021,,43655,43753,40875,43688,914000,121186980000
MWG,HOSE,19/03/2021,,43491,43655,43164,43491,376700,49941920000
MWG,HOSE,22/03/2021,,43426,43491,43001,43132,377300,49848280000.0001
MWG,HOSE,23/03/2021,,42837,43164,42510,42837,625000,81698740000
MWG,HOSE,24/03/2021,,42347,42805,41889,42478,528300,68455940000
MWG,HOSE,25/03/2021,,42347,42772,42085,42118,506500,65545420000
MWG,HOSE,26/03/2021,,42020,42510,40875,42510,585900,74673749999.9998
MWG,HOSE,29/03/2021,,42641,43132,42249,42543,870000,113497140000
MWG,HOSE,30/03/2021,,42543,42805,42183,42314,318600,41279050000
MWG,HOSE,31/03/2021,,42314,42674,42053,42412,326800,42278860000
MWG,HOSE,01/04/2021,,42510,43982,42020,43917,1239000,163881860000.0010
MWG,HOSE,02/04/2021,,44440,44473,43917,44080,796700,107752020000
MWG,HOSE,05/04/2021,,44473,44473,43720,43851,364100,49002250000
MWG,HOSE,06/04/2021,,43655,44309,43459,43590,1035200,138831679999.9990
MWG,HOSE,07/04/2021,,43361,43982,43197,43982,327200,43435880000
MWG,HOSE,08/04/2021,,43982,43982,43655,43818,310500,41595000000
MWG,HOSE,09/04/2021,,43818,43818,43426,43590,464700,61879230000.0002
MWG,HOSE,12/04/2021,,43590,44146,43491,44113,852600,114371690000
MWG,HOSE,13/04/2021,,44211,44996,43884,44113,1232700,167523710000
MWG,HOSE,14/04/2021,,43655,44276,43655,44276,472400,63585140000
MWG,HOSE,15/04/2021,,44342,44767,43720,43720,1036700,139882210000
MWG,HOSE,16/04/2021,,44342,44211,43164,43818,781400,104128770000
MWG,HOSE,19/04/2021,,44146,44930,43328,44930,1203800,163479660000.0010
MWG,HOSE,20/04/2021,,45454,47089,45290,46598,2184800,308930130000.0010
MWG,HOSE,22/04/2021,,46598,48397,45813,46598,2536100,367826330000.0010
MWG,HOSE,23/04/2021,,46435,48233,45944,48233,2198500,315294219999.9990
MWG,HOSE,26/04/2021,,48200,48200,46598,46598,1271300,183553610000
MWG,HOSE,27/04/2021,,46598,47089,45944,46402,818300,116329750000
MWG,HOSE,28/04/2021,,45781,46271,45454,45781,994100,139369960000
MWG,HOSE,29/04/2021,,45617,46173,45159,46075,662300,92650439999.9999
MWG,HOSE,04/05/2021,,45290,45748,45127,45584,730900,101640760000
MWG,HOSE,05/05/2021,,45584,46794,45519,46075,1124900,159226350000
MWG,HOSE,06/05/2021,,46075,46762,45911,46435,923300,130715350000
MWG,HOSE,07/05/2021,,46108,46696,45748,45846,923400,130051760000
MWG,HOSE,10/05/2021,,46108,45781,44963,45159,1744900,241137999999.9980
MWG,HOSE,11/05/2021,,44963,45781,44930,44963,1382900,191358010000
MWG,HOSE,12/05/2021,,44963,45617,44930,45617,830000,115087340000
MWG,HOSE,13/05/2021,,45290,45944,45290,45781,986800,137769250000
MWG,HOSE,14/05/2021,,45944,46925,45846,46598,818500,116341890000
MWG,HOSE,17/05/2021,,46925,47089,46075,46271,535700,76196980000.0001
MWG,HOSE,18/05/2021,,46271,46435,46009,46336,594800,84047019999.9999
MWG,HOSE,19/05/2021,,46108,46435,45944,46336,599700,84570130000
MWG,HOSE,20/05/2021,,46009,49051,46009,49051,1409800,203258510000
MWG,HOSE,21/05/2021,,48037,48397,47416,47546,979600,143748240000
MWG,HOSE,24/05/2021,,47416,47906,47121,47743,539500,78435979999.9999
MWG,HOSE,25/05/2021,,47743,47906,47416,47743,789800,115076100000
MWG,HOSE,26/05/2021,,47743,47808,47252,47383,781800,113452080000.0010
MWG,HOSE,27/05/2021,,47383,47416,46435,46565,848200,121703710000
MWG,HOSE,28/05/2021,,46565,46827,46304,46663,743300,105561130000
MWG,HOSE,31/05/2021,,45781,46271,45290,45290,1269800,177094770000
MWG,HOSE,01/06/2021,,44963,45127,44146,44636,1074000,146500450000.0010
MWG,HOSE,02/06/2021,,44473,45781,44440,45388,579400,80136720000.0002
MWG,HOSE,03/06/2021,,45715,45715,44800,45454,593700,82315410000
MWG,HOSE,04/06/2021,,45454,45454,44800,44963,617400,85038220000.0001
MWG,HOSE,07/06/2021,,44963,44996,44244,44505,684700,93339800000
MWG,HOSE,08/06/2021,,44473,45127,44374,44473,715300,97484410000.0005
MWG,HOSE,09/06/2021,,44473,44963,44146,44603,739900,100654410000
MWG,HOSE,10/06/2021,,44146,44800,44146,44244,679100,92081500000
MWG,HOSE,11/06/2021,,44211,44800,44178,44800,830800,113123200000
MWG,HOSE,14/06/2021,,45127,45388,44734,45159,740900,102138040000
MWG,HOSE,15/06/2021,,45159,45454,44963,45094,437500,60416110000.0001
MWG,HOSE,16/06/2021,,45061,45061,44636,44800,499600,68404980000.0002
MWG,HOSE,17/06/2021,,44636,47056,44473,45454,1284500,179918620000.0010
MWG,HOSE,18/06/2021,,45944,46271,45781,46108,384900,54235680000
MWG,HOSE,21/06/2021,,45977,47710,45977,47677,1179900,169328020000
MWG,HOSE,22/06/2021,,47743,47808,45617,47743,736900,106910310000
MWG,HOSE,23/06/2021,,47481,47579,47089,47089,443700,64177329999.9999
